CTRL,Bauer et al (pg.),Schneider; Ur III,Rosengarten,LAK,REC,OBO,Labat,Borger (MesZL),unicode,OB Signs,Sign var. (?),OGSL,SIGN NAME,ED III Sumerian (Oracc),ED III Sumerian (Oracc)_att,Lagaš II Sumerian (Oracc),Lagaš II Sumerian (Oracc)_att,Ur III,OB Sumerian,Basic Meaning,Other,Akkadian word equivalent,Uruk,Pre-Sargonic,Ebla,Ebla Meaning,OAkk,OB,OA,OA Meaning,Amarna,MA (Oracc),MA (Oracc)_att,MB (Oracc),MB (Oracc)_att,Nuzi,NA,NA (Oracc),NA (Oracc)_att,NB (Oracc),NB (Oracc)_att,LB (Oracc),LB (Oracc)_att
,,,,,,470,579,839,,𒀀,𒀀,A,A,a; duru₅; A,a (211); A (54); duru₅ (6),a; aya₂; duru₅,a (693); aya₂ (2); duru₅ (1),,a; aiax; duru5; e4; ia10; (dur5),water; drink,,,,,,,,, a,,,a; A,a (256); A (52),a; A,a (6433); A (26),,,a; e₄; A,a (26668); A (793); e₄ (2),a; A,a (8124); A (226),a; A,a (9699); A (9250)
,,,,,,230,334,560,,𒀉, 𒀉,A₂,A2,a₂; ti₈; A₂,a₂ (23); ti₈ (1); A₂ (1),a₂; ti₈,a₂ (33); ti₈ (4),,a2; id; it; te8; (ed); [ti8],arm; wing; strength,,,,,,,,, id; it; iṭ; ed; et; eṭ,,,et; id; it; iṭ,it (22); id (7); et (4); iṭ (1),a₂; ed; et; eṭ; id; it; iṭ; A₂,it (606); id (152); iṭ (33); et (25); eṭ (10); ed (2); a₂ (1); A₂ (1),,,a₂; ed; et; eṭ; id; it; iṭ; A₂,it (1610); id (419); et (172); iṭ (113); A₂ (71); ed (47); eṭ (44); a₂ (12),a₂; ed; et; eṭ; id; it; iṭ; A₂,it (927); id (163); iṭ (30); et (19); eṭ (12); A₂ (9); ed (3); a₂ (2),a₂; eṭ; id; it; iṭ,it (766); id (149); iṭ (92); eṭ (13); a₂ (3)
,,,,,,125,128,223,,𒀊, 𒀊,AB,AB,ab; aba; eš₃; AB,AB (26); eš₃ (13); ab (12); aba (2),ab; eš₃,ab (25); eš₃ (6),,ab; aba; erigal3/irigal3 k; eš3; is3/iz3; unu(g)-; (ap); [unu5],sea; lake; ( eš3): shrine,,,,,,,,, ab; ap (uncommon; ab2; ap2 preferred); in PNs with dAB - Illil (Enlil),,,ab; ap,ab (5); ap (3),ab; ap; AB,ab (221); ap (204); AB (2),,,ab; ap; es₃; is₃; iṣ₃; AB,ab (564); ap (456); AB (124); es₃ (11); iṣ₃ (1); is₃ (1),ab; ap; iṣ₃; AB,ab (154); ap (67); AB (7); iṣ₃ (5),ab; ap; AB,ap (28); AB (28); ab (27)
,,,,,,127,128.1,227,,𒀋, 𒀋,|AB×AŠ₂|,AB×AŠ2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,352,420,672,,𒀖,𒀖,AB₂,AB2,ab₂; AB₂,ab₂ (138); AB₂ (7),ab₂,ab₂ (3),,ab2,cow,,,,,,,,, ab2; ap2,,,,,,,,,ab₂; ap₂; let; li₈; lid; lit; liti; liṭ; rem₂; reme₂; rim₂; AB₂,lit (331); lid (157); let (134); liṭ (46); AB₂ (36); rem₂ (21); rim₂ (6); li₈ (4); reme₂ (3); ap₂ (3); liti (1); ab₂ (1),let; lid; lit; liṭ; rem₂; AB₂,lit (60); lid (54); liṭ (8); let (2); rem₂ (2); AB₂ (2),let; lit; liṭ,lit (31); liṭ (15); let (4)
,,,,,,132,145,258,,𒀜, 𒀜,AD,AD,ad; at; AD,ad (52); at (3); AD (2),ad; at; AD,ad (4); at (1); AD (1),,ad (at),song,,,,,,,,, ad; at; aṭ,,,ad; at; aṭ,at (19); ad (12); aṭ (2),ad; at; aṭ; AD,at (704); ad (213); aṭ (80); AD (11),,,ab₃; ad; at; aṭ; AD,at (1263); ad (532); AD (444); aṭ (115); ab₃ (1),ad; at; aṭ; AD,at (295); AD (130); ad (88); aṭ (26),ad; at; aṭ; AD,at (196); AD (192); ad (29); aṭ (8)
,,,,,,245,379.2,854,,𒍞, 𒍞,ZA@t,AD4 (ZA-t.),,,,,,ad4,,,,,,,,,,,,,,,ZA@t,ZA@t (1),,,,,,,,
,,,,,,52,97,127,1201D,𒀝, 𒀝,AK,AG,a₅; ag; ak; kid₃; AK,ak (43); ag (6); a₅ (3); AK (2); kid₃ (2),ak,ak (19),,a5; ag; ak; aka; ke3; ša5; (me3-); [ki(d)3],to make,,,,,,,, ag; ak; aq, ag; ak; aq,,,ak; aq; AK,ak (44); aq (4); AK (1),ag; ak; aq; AK,ak (325); aq (95); ag (56); AK (15),,,ag; ak; aq; AK,ak (583); aq (215); ag (49); AK (48),ag; ak; aq,ak (106); aq (70); ag (6),ag; ak; aq,ak (18); aq (17); ag (6)
,,,,,,136,183,326,,𒉘, 𒉘,|NINDA₂×NE|,AĜ2,,,aŋ₂,aŋ₂ (54),,aĝ2; eĝ3; iĝ3; (am2 k); [em3]; [im3],to weigh; measure,,,,,,,,,,,,,,,,,,am₂; ram; rama,ram (96); am₂ (1); rama (1),ram,ram (59),,
,,,,,,219.1,347,556.2,,𒂇, 𒂇,DUN₃@g@g,AGA,mir; niŋir; DUN₃@g@g,niŋir (17); DUN₃@g@g (7); mir (5),mir; niŋir,mir (2); niŋir (1),,aga,crown,,,,,,,,,,,,,,mir,mir (2),,,mer; mir,mir (241); mer (38),mer; mir,mir (68); mer (1),mer; mir,mir (12); mer (2)
,,,,,,237,452,727,,𒅆𒁾,𒅆𒁾,|IGI.DUB|,AGRIG (IGI.DUB),|IGI.DUB|; agrig,agrig (4); |IGI.DUB| (1),agrig; ŋiškim,agrig (3); ŋiškim (2),,agrig; ĝešgem [ĝiškim],signal,"agrig [STEWARD] wr. agrig ""steward; housekeeper""",abarakku,,,agrig,intendant; steward; housekeeper,,,,,,,,,,,,,,,,,
,,,,,,280,398,636,12134,𒄴, 𒄴,|HI×NUN|,AH (HI×NUN),|HI×NUN|; eh,|HI×NUN| (9); eh (5),,,,ah; eh; ih; uh; uman [umun3],,,,,,,,,, ah; eh; ih,,,ah; ih; uh,ah (25); uh (5); ih (1),aʾ₂; ah; eʾ₂; eh; ih; uʾ₂; uh,ah (149); ih (99); uh (88); eh (34); aʾ₂ (11); eʾ₂ (4); uʾ₂ (3),,ah; eh; ih; uh; 'a; 'e; 'i; 'u,ah; eh; ih; uh,ah (466); ih (427); uh (330); eh (167),ah; eh; ih; uh,ih (158); ah (84); uh (47); eh (28),ah; eh; ih; uh,ah (49); ih (33); uh (18); eh (12)
,,,,,,300,92.1,159,,𒃰𒋺𒋛, 𒃰𒉫𒋛,|GAD.TAK₄.SI|,AKKIL (GAD.KID2.SI),,,akkil,akkil (1),,akkil,noise; clamor,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,128,1201F,,,,AKxŠITA-GIŠ,,,,,,,,,,,,,,,,,,,,,,,,me11,,,,,,
,,,,,,108,298,474,,𒀠, 𒀠,AL,AL,al; mah₂; AL,al (28); mah₂ (8); AL (3),al,al (14),,al,hoe,,,,,,,,, al,,,al,al (4),al; AL,al (444); AL (2),,,al; AL,al (940); AL (2),al,al (406),al,al (41)
,,,,,,199,358,573,,𒀩, 𒀩,ALAN,ALAM,alan; ALAN,ALAN (4); alan (1),alan,alan (31),,alan [alam],statue,,,,,,,,,,,,,,,,,,alam; alan; ALAN,ALAN (2); alam (2); alan (1),,,,
,,,,249,,295,421,703,,𒄋,𒄋,|GIR₃×(A.IGI)|,ALIM (KIŠ×IGI),alim,alim (8),alim,alim (11),,alim,,,,,,,,,,,,,,,,,,,alim,alim (3),,,,
,,,,,,119,170,309,,𒄠, 𒄠,|GUD×KUR|,AM (GU4×KUR),am,am (78),am,am (2),,am; eldig k; [ildag3],wild bull,,,,,,,,, am,,,am,am (1),am,am (606),,,am,am (971),am,am (321),am,am (217)
,,,,,,94,237,392,,𒂼, 𒂼,|GA₂×AN|,AMA (ĜA×AN),|GA₂×AN|; ama,ama (22); |GA₂×AN| (10),ama; daŋal,ama (22); daŋal (6),,ama; daĝal; eme4,mother; (dagal): adj.; wide; n.; width; v.; to enlarge,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,367,437,695,,𒀫, 𒀫,AMAR,AMAR,amar; AMAR,amar (103); AMAR (2),amar,amar (1),,amar; marad; zur,calf,,,,,,,,, ṣur; zur (very rare); ṣar2 (extremely rare),,,ṣur; AMAR,AMAR (1); ṣur (1),ṣar₂; ṣur,ṣur (63); ṣar₂ (4),,,mar₂; ṣur; zur; AMAR,ṣur (149); AMAR (27); mar₂ (3); zur (2),ṣur; AMAR,ṣur (27); AMAR (1),ṣur,ṣur (20)
,,,,,,174,293,460,,𒁦, 𒁦,|DAG.KISIM₅×(LU.MAŠ₂)|,AMAŠ (DAG.KISIM5×LU(.MAŠ2)),amaš,amaš (5),,,,amaš; ua4,sheepfold,,,,,,,,,,,,,,,,,,,,,,,
,,22,,,5,9,13,10,1202D,𒀭, 𒀭,AN,AN,an; diŋir; dingir; AN,AN (254); an (105); diŋir (7); dingir (5),an; diŋir; AN,an (105); diŋir (56); AN (6),,an; diĝir; (il3 k),sky; heaven; the god An,,ilum,,,,,,an; il3, an = šamû; DINGIR = ilum,god,,an; AN,an (44); AN (1),an; d; el₃; il₃; ili; ilu; AN,an (967); il₃ (113); AN (100); el₃ (3); d (2); ilu (1); ili (1),,an; ìl; il3; èl; el3; ila; sa8; am6; ána; ana2,an; anu; der; dingir; il₃; ila; ili; sa₈; AN,an (4680); AN (422); il₃ (280); dingir (2); sa₈ (2); der (1); ili (1); ila (1); anu (1),an; der; il₃; AN,an (1690); AN (87); il₃ (19); der (2),an; d; il₃; AN,an (1203); AN (290); il₃ (24); d (1)
,,,,,,292,208,353,,𒀲, 𒀲,ANŠE,ANŠE (AŠGAN2),anše; ANŠE,ANŠE (11); anše (9),anše,anše (2),,anše; šagan2; [anšu]; [sumugan; šakan2 k],donkey,,,,,,,,, ANŠE - emārum,donkey,,,,ANŠE,ANŠE (6),,,ANŠE,ANŠE (791),ANŠE,ANŠE (10),ANŠE,ANŠE (7)
,,,,,,5,56,90,12033,𒀳, 𒀳,APIN,APIN,absin₃; apin; engar; APIN,APIN (13); apin (12); engar (8); absin₃ (4),engar,engar (1),,apin; engar; ur11; uru4; uš8; (absin3),plow; farmer; (uru4): to till,plow; farmer; foundation,,,,,,,,,,,,,APIN,APIN (2),,apin,APIN,APIN (132),APIN,APIN (15),APIN,APIN (48)
,,,,,,234,451,726,,𒅈, 𒅈,|IGI.RI|,AR (IGI.RI),ar,ar (12),ar,ar (1),,ar,,,,,,,,,, ar,,,ar,ar (28),ar,ar (497),,,ar,ar (666),ar,ar (114),ar,ar (166)
,,,,90,,16,50,18,12034,𒀴, 𒀴,ARAD,ARAD,ir₃,ir₃ (1),,,,ninta2; urdu; [arad]; [nita(h)2],servant; slave,slave,wardum,,,,,,, ir3; er3; IR3 - wardum,slave; servant,,,,ir₃; ARAD,ARAD (28); ir₃ (1),,,er₃; ir₃; ARAD,ARAD (1560); er₃ (6); ir₃ (2),ir₃; ARAD,ARAD (519); ir₃ (1),ir₃; ARAD,ARAD (495); ir₃ (1)
,,,,,,17,51,19,,𒀵, 𒀵,|ARAD×KUR|,ARAD2,ir₁₁,ir₁₁ (7),arad₂,arad₂ (7),,urdu2 (ninta4),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,104,271,432,,𒃣,𒃣,|GA₂×SAL|,ARHUŠ (ĜA2/E2×MUNUS),|GA₂×SAL|,|GA₂×SAL| (4),arhuš,arhuš (1),,ame2; arhuš; [ama5],women quarters,,,,,,,,,,,,,,,,,,,,,,,
,,1,,,1,1,1,1,12038,𒀸,𒀸 ,AŠ,AŠ,1(aš); aš; aš@c; dili; AŠ,aš@c (25); 1(aš) (21); AŠ (21); aš (11); dili (10),1(aš); aš; dili,1(aš) (10); dili (4); aš (1),,aš; dil; dili; tal3/til4; (as3),one; alone; unique,#1; single, ištēn,,,,,,aš; rum; rim5, aš (rare); DILI,1 (talent),,ina,ina (8),as₃; aš; aṣ₃; ru₃; rum,aš (706); rum (256); ru₃ (43); aṣ₃ (1); as₃ (1),,aš; rum; rù; ru3; dil; ṭil; dàl; dal3; ina; in6,ana₃; aš; dal₃; dele; dil; dili; in₆; ina; ru₃; rum; til₄; ṭil; AŠ,ina (12836); aš (1185); rum (481); dil (142); AŠ (49); dele (23); ru₃ (18); ṭil (6); in₆ (4); dal₃ (2); til₄ (2); dili (1); ana₃ (1),aš; del; dil; ina; AŠ,ina (1963); aš (461); dil (35); AŠ (2); del (2),aš; del; dele; dil; ina; ru₃; AŠ,ina (3284); aš (9); AŠ (8); dele (6); ru₃ (2); dil (2); del (1)
,,,,,,,,11,12038+122E9,𒀸𒋩 ,,,AŠ+SUR,,,,,,,,,,,,,,,,,,,,,,,,aš-šur,,,,,,
,,,,,,211,339,548,,𒀾, 𒀾,AŠ₂,AŠ2,aš₂; AŠ₂,aš₂ (6); AŠ₂ (3),aš₂,aš₂ (1),,as2/aš2 k; ux/ud2; ziz2,,,,,,,,,, aš2; as; az,,,as₂; aš₂,aš₂ (28); as₂ (7),aš₂; taš₃; AŠ₂,aš₂ (9); taš₃ (3); AŠ₂ (1),,,as₂; aš₂; aṣ₂; az₂; AŠ₂,aš₂ (1913); AŠ₂ (30); as₂ (15); az₂ (2); aṣ₂ (1),aš₂; AŠ₂,aš₂ (494); AŠ₂ (1),as₂; aš₂; AŠ₂,aš₂ (109); AŠ₂ (4); as₂ (1)
,,,,,,477,598.2,862,,𒐋,𒐄 ; 𒐋,6(DIŠ),AŠ3,,,,,,aš3,,,,,,,,,,AŠ3,6,,,,,,,,6(DIŠ),6(DIŠ) (7),,,,
,,,,,,184,44,79,12342,𒍂, 𒍂,|URU×IGI|,ASARI (URU×IGI),|URU×IGI|; asar; silig; šilig,šilig (9); |URU×IGI| (4); silig (3); asar (2),,,,asal k; asar; silig [šilig],,,,,,,,,,,,,,,,,,,asar,asar (2),,,,
,,,,,,443,104.6,173,,𒀿,𒀿 ,AŠGAB,AŠGAB,ašgab; AŠGAB,ašgab (15); AŠGAB (1),,,,ašgab,leatherworker,,,,,,,,,,,,,,,,,,AŠGAB,AŠGAB (3),,,AŠGAB,AŠGAB (20)
,,,,,,158,156,285,,𒂰, 𒂤,|EZEN×LAL₂|,ASILAL (EZEN×LAL2),,,,,,asila [asilal],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,159,158,288,,𒂢, 𒂢,|EZEN×A|,ASILAL3 (EZEN×A),,,,,,asila3 [asilal3],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,180,131,297,,𒊍, 𒊍,|PIRIG×ZA|,AZ,az,az (11),az,az (1),,az,bear,,,,,,,,, as; aṣ; az,,,as; aṣ; az,az (21); aṣ (2); as (1),|PIRIG×ZA|; as; aṣ; az,as (83); aṣ (73); az (39); |PIRIG×ZA| (1),,,as; aṣ; az,as (482); aṣ (280); az (192),as; aṣ; az,aṣ (156); as (72); az (52),as; aṣ; az,as (92); aṣ (46); az (31)
,,407,,,188,303,5,14,12040,𒁀, 𒁀,BA,BA,ba; BA,ba (40); BA (2),ba,ba (211),,ba; be4,n.; share; portion; v.; to divide; to make a gift (nig2-ba),, qâšu,,,,,,, ba; pa2,,,ba,ba (67),ba; pa₂; BA,ba (830); pa₂ (28); BA (1),,,ba; pa₂; BA,ba (3358); BA (38); pa₂ (13),ba; BA,ba (903); BA (1),ba; BA,ba (2268); BA (117)
,,,,,,25,69,113,12041,𒁁,𒁁,BAD,BAD (IDIM),bad; be; BAD,bad (18); BAD (15); be (1),bad; BAD,bad (2); BAD (1),,bad; eše3; idim; mud2; šumun; til; ug7; uš2; (be); [sumun; sun],to open; (sumun; sud): old (til): life; (uš2): blood,open; to end/ complete; blood; die,petû; bašû(Š); gamāru; dāmu; mâtu,,,,,,, be; bi4; pi3; pe3; pat2 (only in ka3-ar-pat2 - karpatum - ‘pot’),,,bat; be,be (51); bat (10),bat; baṭ; be; bi₄; bit₂; pad₂; pat₂; paṭ₂; pe₃; pi₃,be (446); bat (68); pe₃ (17); baṭ (10); pat₂ (9); bi₄ (3); pi₃ (1); bit₂ (1); pad₂ (1); paṭ₂ (1),,,bad; bat; be; bi₄; med; meṭ; mit; mitu; miṭ; pe₃; pet₂; zis; ziz; BAD,be (3588); bat (983); BAD (167); mit (155); ziz (53); miṭ (14); bad (3); meṭ (2); bi₄ (2); pet₂ (2); mitu (2); med (2); pe₃ (1); zis (1),bad; bat; be; bit₂; met; mit; miṭ; pet₂; pid₂; pit₂; ṣiṣ; ziz; BAD,be (1483); mit (220); bat (197); ziz (13); BAD (10); pid₂ (6); miṭ (5); pit₂ (3); ṣiṣ (2); bit₂ (2); met (1); pet₂ (1); bad (1),bad; bat; baṭ; be; bit₂; meṭ; mit; pat₂; ziz; BAD,bat (82); be (25); bad (24); baṭ (17); meṭ (8); mit (5); pat₂ (3); ziz (1); BAD (1); bit₂ (1)
,,,,,,153,152.8,275,,𒂦,𒂦 ,|EZEN×BAD|,BAD3 (EZEN×BAD),|EZEN×BAD|; bad₃; ug₅,bad₃ (14); |EZEN×BAD| (5); ug₅ (3),bad₃,bad₃ (5),,bad3; ug5; un3; u9,city walls; (bad3): to die,,,,,,,,, BAD3 - dūrum,city wall,,,,|EZEN×BAD|,|EZEN×BAD| (1),,,ug₅,ug₅ (4),,,,
,,,,,,86,309.22,499.1,,𒁃,𒂁𒋡𒁓,BAHAR₂,BAHAR2 (DUG.SILA3.BUR),bahar₂; BAHAR₂,bahar₂ (12); BAHAR₂ (2),,,,alurx?/urx?; bahar2,,,,,,,,,,,,,,,BAHAR₂,BAHAR₂ (2),,,BAHAR₂,BAHAR₂ (3),BAHAR₂,BAHAR₂ (1),BAHAR₂,BAHAR₂ (23)
,,38,,,,3,9,5,12044,𒁄, 𒁄,BAL,BAL,bal; bala,bal (10); bala (8),bala,bala (6),,bala; (bal),n.; term; turn; v.; to cross; to pass through; to pur (as a  libation),turn; change; give over,palû; ebēru; enû; etēqu (Š),,,,,,,,,,bal; pal,pal (7); bal (4),bal; pal,pal (65); bal (48),,bal; pal; bùl; bul3; pùl; pul3,bal; bala; pal; BAL,bal (408); pal (197); BAL (99); bala (1),bal; pal; BAL,pal (280); BAL (118); bal (95),bal; pal; BAL,pal (44); bal (29); BAL (10)
,,,,,,195,352,565.1,,𒁆, 𒂀,BALAG,BALAĜ,balag; balaŋ; BALAG,balaŋ (19); BALAG (2); balag (1),balaŋ,balaŋ (2),,balaĝ; buluĝ5,a musical instrument,,,,,,,,,,,,,,,,,,BALAG,BALAG (5),,,,
,,,,,,,,122,1244F,,,1(BAN₂),BAN2,,,,,,,,,,,,,,,,,,,1(BAN₂),1(BAN₂) (6),,,,ban2,1(ban₂),1(ban₂) (102),1(ban₂),1(ban₂) (1),1(BAN₂),1(BAN₂) (11)
,,,,,,182,41,75,1234E,𒍎, 𒍎,|URU×URUDA|,BANŠUR (URU×URUDU),banšur,banšur (3),banšur,banšur (2),,bansur/pansur [banšur],table,,,,,,,,,,,,,,,,,,,,,,,
,,,,,432,57,74,121,12047,𒁇, 𒈦,BAR,BAR,bar; BAR,bar (59); BAR (6),bar,bar (13),,bar (ba7k),(out)side,,,,,,,,, bar; par2; war,,,bar,bar (1),bar; par₂; BAR,par₂ (85); bar (14); BAR (1),,,bar; par₂; BAR,bar (359); par₂ (53); BAR (52),bar; par₂; BAR,BAR (182); bar (53); par₂ (11),bar; BAR,bar (203); BAR (6)
,,,,,,217,344,554,,𒁈,𒁈 ,BARA₂,BARA2,barag; šara,barag (9); šara (3),barag,barag (2),,para10; šara (Cf. 409. ŠARA2); (parag); [bara2/barag],dais; throne; sack,,,,,,,,,,,,,,BARA₂,BARA₂ (1),,,bar₂; šara; BARA₂,BARA₂ (97); bar₂ (3); šara (3),BARA₂,BARA₂ (4),BARA₂,BARA₂ (57)
,,,,,,79,214,358,,𒁉, 𒁉,BI,BI,bi; kas₂; kaš; BI,BI (8); kaš (5); kas₂ (3); bi (3),be₂; bi; kaš,bi (115); be₂ (33); kaš (1),,be2; bi; biz; kaš; dug-,(kaš): beer,,,,,,,,, bi; be2 (be preferred); pi2/pe2,,,bi; pi₂; BI,bi (32); BI (1); pi₂ (1),be₂; bi; kas₂; kaš; pe₂; pi₂; šu₁₃; BI,bi (1231); pi₂ (461); pe₂ (57); be₂ (20); BI (15); kaš (3); šu₁₃ (2); kas₂ (1),,,be₂; bi; gaš; kas₂; kaš; pe₂; pi₂; šu₁₃; BI,bi (4750); BI (500); be₂ (290); pi₂ (110); kaš (82); kas₂ (41); gaš (17); pe₂ (6); šu₁₃ (1),be₂; bi; gaš; kaš; pi₂; BI,bi (1484); kaš (68); be₂ (29); pi₂ (19); gaš (5); BI (2),be₂; bi; kaš; pi₂; BI,bi (1549); kaš (219); be₂ (13); BI (8); pi₂ (4)
,,,,,,117,173,312,,𒉋,𒉋 ,NE@s,BIL2 (NE×PAP),bil₂; gibil; NE@s,bil₂ (9); gibil (5); NE@s (1),gibil; NE@s,gibil (5); NE@s (1),,bil2; gibil,(gibil): new,,,,,,,,, bil2 (very rare; bi2/bi4-il5 preferred),,,bil₂; pil₂,pil₂ (1); bil₂ (1),bil₂; pel₂; pil₂,bil₂ (22); pil₂ (4); pel₂ (1),,,bil₂; pil₂,bil₂ (48); pil₂ (26),bil₂; pil₂,bil₂ (3); pil₂ (1),,
,,,,,,287,400,643,,𒄵, 𒄵,|HI×ŠE|,BIR (HI×ŠE),giriš,giriš (1),,,,biri; dubur; gereš; (bir); (ellaĝ2); [giriš],to disperse,,,,,,,,,,,,,,bir,bir (8),,,ber; bir,bir (341); ber (3),ber; bir,bir (62); ber (1),bir,bir (12)
,,,,,,265,371,580,,𒁍, 𒁍,BU,BU,bu; dul₁₀; gid₂; suš₃; BU,BU (29); gid₂ (18); bu (13); suš₃ (3); dul₁₀ (1),bu; gid₂; sir₂,sir₂ (16); gid₂ (8); bu (1),,bu; gid2; kim3; pu; sir2; tur8; su3-; sud-; (madul k); [dur7]; [gim7]; [madal; mudul]; [su13]; [sud4],to pull out; to drag; (gid2): adj.; long; v.; to lengthen,,,,,,,,, bu; pu,,,bu; pu; BU,bu (26); pu (22); BU (3),bu; gid₂; pu; BU,bu (922); pu (672); BU (13); gid₂ (4),,,bu; gid₂; git₂; pu; qid₂; ser₂; sir₂; šer₂; šir₂; BU,bu (4492); pu (2919); BU (56); sir₂ (20); šer₂ (13); git₂ (10); šir₂ (5); ser₂ (3); gid₂ (3); qid₂ (2),bu; git₂; pu; sir₂,bu (1229); pu (725); git₂ (1); sir₂ (1),bu; git₂; pu,pu (624); bu (479); git₂ (2)
,,,,,,275,371.1,582,,𒁎,𒁐 ,|BU&BU.AB|,BU/BU,,,,,,sirsir,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,411,515,788,,𒇧, 𒇧,|LAGAB×(U.U.U)|,BUL (LAGAB×EŠ),,,,,,bu5; ninni4; tuku4; (tu13 k); [tuk4],to tremble (tuku4),,,,,,,,,,,,,,,,,,bul; pul,bul (185); pul (21),bul; pul,bul (7); pul (2),bul; pul,bul (43); pul (1)
,,,,,,18,96,169,,𒁑,𒁑 ,BULUG,BULUG,,,,,,bulug,,needle; boarder,,,,,,,,,,,,,,,,,,,,,,
,,,,,,264,60.33,94,1227D+1227D,𒈿, 𒈿𒈿,|PAP.PAP|,BULUĜ3; DIM4 (PAP.PAP),|PAP.PAP|; bulug₃; dim₄; munu₄,|PAP.PAP| (7); munu₄ (5); dim₄ (4); bulug₃ (4),,,,buluĝ3; dim4; munu4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,322,30,54,1216E,𒅮, 𒅮,|KA×IM|,BUN2 (KA×IM),,,,,,bun2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,223,349,559,,𒁓, 𒁓,BUR,BUR (NIĜ2-g.),bur; BUR,bur (59); BUR (3),bur,bur (4),,bur,stone vessel,,,,,,,,, bur; pur,,,,,bur; pur; BUR,pur (33); bur (22); BUR (2),,,bur; pur; BUR,pur (939); bur (255); BUR (15),bur; pur; BUR,pur (89); bur (6); BUR (2),bur; pur,pur (67); bur (14)
,,88,,,,13,11,8,12054,𒁔, 𒁔,BUR₂,BUR2,bur₂; ušum; BUR₂,bur₂ (12); ušum (11); BUR₂ (5),ušum,ušum (1),,bulug2; bur2; du9; dun5; sun5; ušum,,light; glow; shine; release; free; reveal; spread out; cover,napāhu; nūru; pašāru; šuparruru,,,,,,,,,,,,pul₂,pul₂ (3),,búl; bul2; púl; pul2; bál; bal2,BUR₂,BUR₂ (22),BUR₂,BUR₂ (2),,
,,,,,,63,54,165,,𒂙, 𒂘,|EN×GAN₂@t|,BURU14 (EN×KAR2),,,,,,buru14; enkara; sibir2; (bur14 k); [šibir2],,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,43,79.1,135,12246+1209F,𒄷𒊺𒂟, 𒄷𒊺𒂟,BURU₅,BURU5 (HU.ŠE.ERIM) (NAM-ERIN2),buru₅,buru₅ (13),,,,buru5,sparrow; locust,,,,,,,,,,,,,,,,,,BURU₅,BURU₅ (23),,,,
,,,,,,229,335,561,,𒁕, 𒁕,DA,DA,da; DA,da (88); DA (6),da,da (131),,da; a2-; te8-; (id- k),side,,,,,,,,, da; ṭa (very rare; ṭa2 preferred); ta2 (rare; ta preferred),,,da; ṭa,da (21); ṭa (1),da; ta₂; ṭa; DA,da (600); ṭa (70); ta₂ (63); DA (2),,,da; ta₂; ṭa; DA,da (2687); ṭa (587); DA (40); ta₂ (1),da; ṭa; DA,da (538); ṭa (198); DA (8),da; ta₂; ṭa; DA,DA (1314); da (347); ṭa (103); ta₂ (1)
,,,,,,168,280,438,,𒁖, 𒁖,DAG,DAG,dag; DAG,DAG (13); dag (12),,,,bara3; dag; par3; (bar3) [barag2],to spread,,,,,,,,, tak2; (extremely rare): rag; taq,,,,,dag; dak; tag₂; tak₂; taq₂; DAG,dag (17); taq₂ (10); DAG (8); tak₂ (6); dak (2); tag₂ (1),,,bar₃; dag; dak; daq; par₃; tak₂; taq₂; ṭak; DAG,dak (35); tak₂ (17); daq (17); dag (12); taq₂ (7); par₃ (3); DAG (2); bar₃ (1); ṭak (1),dag; dak; daq; tak₂; taq₂; DAG,dak (61); dag (10); DAG (8); daq (2); tak₂ (1); taq₂ (1),dag; dak; DAG,dak (24); dag (3); DAG (2)
,,,,,,142,169,301,,𒈭,𒈭,|MU&MU|,DAH (MU/MU),|MU&MU|; dah,dah (1); |MU&MU| (1),tah,tah (2),,tah [dah],to add; to help,,,,,,,,,,,,,,dah; tah,tah (4); dah (1),,,dah; tah; ṭah,tah (94); dah (33); ṭah (9),dah; tah; ṭah,tah (30); dah (4); ṭah (1),dah; tah; ṭah,tah (50); ṭah (2); dah (1)
,,104; 105; 689; 733,,,,30,74.238,124,12226+12118+120FC,𒈦𒄘𒃼, 𒈦𒄘𒃼,|MAŠ.GU₂.GAR₃|,DALLA (MAŠ.GU2.GAR3),|MAŠ.GU₂.GAR₃|; dalla,|MAŠ.GU₂.GAR₃| (3); dalla (3),dalla,dalla (1),,dalla,to manifest; to make clear (dalla--e3),ring,kamkammatu (CAD K 124b),,,,,,,,,,,,,,,,,,,,,
,,,,,,454,557,889,,𒁮,𒁮,DAM,DAM,dam; DAM,dam (21); DAM (1),dam,dam (26),,dam,spouse,,,,,,,,, dam; ṭam; tam2,,,dam,dam (2),dam; tam₂; DAM,DAM (21); tam₂ (16); dam (11),,,dam; ṭam; DAM,dam (143); DAM (135); ṭam (7),dam; DAM,dam (28); DAM (20),dam; DAM,DAM (202); dam (2)
